date_end,ret_36m_ann,maxdd_36m,calmar_36m
2024-03-31,0.022298,-0.120457,0.185
2024-04-30,0.019716,-0.120457,0.164
2024-05-31,0.018924,-0.120457,0.157
2024-06-30,0.023081,-0.120457,0.192
2024-07-31,0.025951,-0.120457,0.215
2024-08-31,0.028478,-0.120457,0.236
2024-09-30,0.029006,-0.120457,0.241
2024-10-31,0.042339,-0.120457,0.351
2024-11-30,0.026949,-0.120457,0.224
2024-12-31,0.030897,-0.120457,0.257
2025-01-31,0.053633,-0.120457,0.445
2025-02-28,0.053822,-0.120457,0.447
2025-03-31,0.04243,-0.120457,0.352
2025-04-30,0.044952,-0.120457,0.373
2025-05-31,0.036144,-0.120457,0.3
2025-06-30,0.052243,-0.120457,0.434
2025-07-31,0.064141,-0.120457,0.532
