period_start_month,period_end_month,scope,year,metric_key,metric_label,metric_basis,units,rounding_family,method,ci_level_pct,estimate,ci_low,ci_high,bootstrap_type,block_mean_length_months,block_mean_length_days,n_boot,seed
2008-01,2025-08,calendar_year,2024,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0053,-0.0132,-0.0050,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2025,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0355,-0.0697,-0.0149,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2008,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0842,-0.1590,-0.0487,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2009,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0744,-0.1411,-0.0429,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2010,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0358,-0.0731,-0.0224,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2011,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0477,-0.0925,-0.0284,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2012,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0492,-0.0985,-0.0214,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2013,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0204,-0.0344,-0.0044,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2014,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0285,-0.0577,-0.0102,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2015,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0209,-0.0328,-0.0115,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2016,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0118,-0.0213,-0.0101,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2017,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0265,-0.0615,-0.0120,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2018,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0154,-0.0315,-0.0102,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2019,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0022,-0.0039,-0.0017,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2020,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0414,-0.0810,-0.0203,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2021,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0028,-0.0083,0.0000,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2022,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0320,-0.0597,-0.0203,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2023,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0418,-0.0774,-0.0206,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2024,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0102,-0.0320,-0.0101,stationary_bootstrap,,5,5000,43
2008-01,2025-08,calendar_year,2025,intramonth_max_drawdown_intra_year,Intramonth Max Drawdown (Calendar Year),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0369,-0.0759,-0.0183,stationary_bootstrap,,5,5000,43
