open_date;open_time;close_date;close_time;pnl_abs;pnl_pct;entry_price;exit_price
2008-09-17;01:01:00;2008-09-17;01:16:00;-1096.10453;-1.01154;1.41865;1.42203
2008-09-17;07:58:00;2008-09-17;08:29:00;-1085.98613;-1.01245;1.42348;1.42686
2008-09-17;16:22:00;2008-09-17;16:35:00;397.75658;0.37461;1.41370;1.41502
2008-09-17;18:19:00;2008-09-17;18:27:00;-1077.84525;-1.01135;1.42176;1.42514
2008-09-17;18:28:00;2008-09-17;19:00:00;-1062.00782;-1.00667;1.42566;1.43111
2008-09-18;01:41:00;2008-09-18;01:54:00;463.86655;0.44417;1.43882;1.43725
2008-09-18;10:58:00;2008-09-18;11:09:00;-1055.72938;-1.00642;1.44758;1.45312
2008-09-18;17:52:00;2008-09-18;18:08:00;459.42202;0.44242;1.44468;1.44311
2008-09-19;01:23:00;2008-09-19;01:31:00;-1057.92062;-1.01428;1.42616;1.42274
2008-09-19;01:34:00;2008-09-19;01:42:00;493.52128;0.47801;1.42217;1.42486
2008-09-19;07:13:00;2008-09-19;07:22:00;474.01761;0.45693;1.42527;1.42367
2008-09-19;13:35:00;2008-09-19;13:50:00;-1054.79187;-1.01215;1.42789;1.43128
2008-09-19;13:51:00;2008-09-19;14:15:00;254.53889;0.24675;1.43211;1.43070
2008-09-22;04:13:00;2008-09-22;04:23:00;450.34016;0.43548;1.45548;1.45392
2008-09-22;18:17:00;2008-09-22;18:53:00;102.02422;0.09823;1.47786;1.47726
2008-09-24;13:34:00;2008-09-24;14:05:00;170.56661;0.16406;1.47348;1.47285
2008-09-25;02:19:00;2008-09-25;02:32:00;383.07863;0.36787;1.47010;1.46876
2008-09-25;12:14:00;2008-09-25;12:21:00;435.01367;0.41621;1.46467;1.46618
2008-09-25;17:58:00;2008-09-25;18:00:00;-1061.25969;-1.01117;1.46025;1.45675
2008-09-29;07:35:00;2008-09-29;08:11:00;-1051.94978;-1.01254;1.44216;1.43870
2008-09-29;18:45:00;2008-09-29;18:45:00;565.50135;0.54688;1.44646;1.44452
2008-09-29;18:46:00;2008-09-29;18:46:00;611.17047;0.59347;1.45537;1.45000
2008-09-29;18:46:00;2008-09-29;18:46:00;-1034.98728;-1.00502;1.44986;1.45541
2008-09-30;13:35:00;2008-09-30;13:46:00;-1045.45207;-1.01518;1.42813;1.42471
2008-09-30;13:46:00;2008-09-30;14:06:00;373.29882;0.36621;1.42412;1.42619
2008-10-01;12:55:00;2008-10-01;12:55:00;561.46963;0.54580;1.40916;1.41105
2008-10-02;01:02:00;2008-10-02;01:48:00;18.99902;0.01847;1.39583;1.39594
2008-10-02;13:35:00;2008-10-02;13:37:00;-1044.65473;-1.01531;1.38448;1.38116
2008-10-02;13:37:00;2008-10-02;13:56:00;-1025.79408;-1.00721;1.38120;1.37585
2008-10-02;16:10:00;2008-10-02;16:14:00;549.05609;0.54459;1.37681;1.37866
2008-10-03;16:40:00;2008-10-03;16:45:00;522.09690;0.51505;1.38365;1.38190
2008-10-03;18:27:00;2008-10-03;18:28:00;555.69782;0.54539;1.38607;1.38422
2008-10-06;07:08:00;2008-10-06;07:08:00;559.76125;0.54342;1.35690;1.35872
2008-10-06;13:15:00;2008-10-06;13:15:00;563.87340;0.54444;1.36464;1.36282
2008-10-07;04:48:00;2008-10-07;05:11:00;-1052.32263;-1.01605;1.35610;1.35933
2008-10-07;05:13:00;2008-10-07;05:25:00;432.44962;0.42183;1.36047;1.35822
2008-10-07;16:11:00;2008-10-07;16:25:00;472.58326;0.45904;1.36012;1.36167
2008-10-07;18:46:00;2008-10-07;18:55:00;424.34386;0.41030;1.35786;1.35925
2008-10-08;00:28:00;2008-10-08;00:30:00;513.99075;0.49495;1.35510;1.35676
2008-10-08;10:25:00;2008-10-08;10:33:00;519.75915;0.49804;1.36728;1.36560
2008-10-08;18:21:00;2008-10-08;18:26:00;512.79181;0.48893;1.37308;1.37143
2008-10-09;03:38:00;2008-10-09;04:43:00;-229.79360;-0.21803;1.36739;1.36805
2008-10-09;11:51:00;2008-10-09;12:31:00;169.27756;0.16097;1.36889;1.36947
2008-10-10;05:30:00;2008-10-10;05:33:00;571.46722;0.54253;1.35163;1.35345
2008-10-10;11:30:00;2008-10-10;11:51:00;368.48062;0.34794;1.35324;1.35442
2008-10-10;16:10:00;2008-10-10;16:51:00;-1078.19049;-1.01455;1.34958;1.34634
2008-10-10;18:38:00;2008-10-10;19:26:00;-1058.41487;-1.00614;1.33977;1.33458
2008-10-13;03:46:00;2008-10-13;03:49:00;-1057.14978;-1.01516;1.35217;1.34892
2008-10-13;03:49:00;2008-10-13;04:08:00;322.39536;0.31276;1.34896;1.35065
2008-10-13;07:01:00;2008-10-13;07:11:00;-1050.21845;-1.01567;1.35766;1.36089
2008-10-13;07:11:00;2008-10-13;07:37:00;-1030.72507;-1.00704;1.36143;1.36664
2008-10-13;13:37:00;2008-10-13;13:39:00;552.28945;0.54509;1.36640;1.36458
2008-10-13;16:10:00;2008-10-13;16:14:00;554.63488;0.54444;1.35731;1.35913
2008-10-13;17:12:00;2008-10-13;18:01:00;-97.58445;-0.09527;1.35137;1.35092
2008-10-15;00:41:00;2008-10-15;00:50:00;451.02490;0.44075;1.35651;1.35800
2008-10-15;17:17:00;2008-10-15;17:38:00;265.76288;0.25857;1.35327;1.35416
2008-10-16;05:30:00;2008-10-16;05:35:00;-1046.43733;-1.01549;1.34238;1.33916
2008-10-16;05:36:00;2008-10-16;06:03:00;247.47225;0.24262;1.33883;1.34013
2008-10-17;02:43:00;2008-10-17;02:55:00;411.70304;0.40265;1.34357;1.34491
2008-10-17;11:13:00;2008-10-17;11:22:00;438.11378;0.42676;1.33962;1.34105
2008-10-17;16:14:00;2008-10-17;16:18:00;502.29369;0.48720;1.34935;1.34774
2008-10-21;07:46:00;2008-10-21;08:20:00;19.15680;0.01849;1.32710;1.32720
2008-10-21;13:34:00;2008-10-21;13:37:00;504.47813;0.48686;1.31699;1.31858
2008-10-21;16:37:00;2008-10-21;16:57:00;-1057.10692;-1.01524;1.31420;1.31105
2008-10-22;00:31:00;2008-10-22;00:34:00;558.17947;0.54157;1.30159;1.30333
2008-10-22;05:16:00;2008-10-22;05:18:00;-1043.98468;-1.00746;1.28871;1.28372
2008-10-22;05:18:00;2008-10-22;05:29:00;-1029.16007;-1.00327;1.28376;1.27570
2008-10-22;05:29:00;2008-10-22;05:37:00;510.23474;0.50244;1.27455;1.28114
2008-10-22;11:38:00;2008-10-22;11:41:00;525.44343;0.51483;1.28505;1.28668
2008-10-23;00:30:00;2008-10-23;00:30:00;-1031.27428;-1.01547;1.27717;1.27410
2008-10-23;00:30:00;2008-10-23;00:41:00;477.95803;0.47063;1.27414;1.27651
2008-10-23;01:09:00;2008-10-23;01:09:00;554.22074;0.54024;1.28570;1.28399
2008-10-23;02:16:00;2008-10-23;02:16:00;557.38607;0.54039;1.28540;1.28370
2008-10-23;04:46:00;2008-10-23;05:21:00;150.24091;0.14566;1.27567;1.27616
2008-10-23;07:31:00;2008-10-23;07:42:00;466.83603;0.45194;1.28418;1.28274
2008-10-23;13:26:00;2008-10-23;13:36:00;-1052.86856;-1.01469;1.27690;1.27384
2008-10-24;01:04:00;2008-10-24;01:37:00;106.43391;0.10363;1.28883;1.28920
2008-10-24;02:54:00;2008-10-24;03:06:00;398.18372;0.38728;1.28147;1.28345
2008-10-24;07:53:00;2008-10-24;07:53:00;560.77409;0.54037;1.27246;1.27416
2008-10-24;07:55:00;2008-10-24;08:10:00;426.69993;0.41118;1.26913;1.27120
2008-10-24;13:24:00;2008-10-24;13:40:00;-1058.21940;-1.01555;1.26260;1.26561
2008-10-24;13:40:00;2008-10-24;13:48:00;541.80881;0.52529;1.26642;1.26383
2008-10-24;18:37:00;2008-10-24;18:37:00;561.44038;0.53857;1.26382;1.26551
2008-10-27;00:54:00;2008-10-27;01:01:00;-1058.23853;-1.01513;1.26262;1.26563
2008-10-27;01:01:00;2008-10-27;01:22:00;394.30887;0.38212;1.26600;1.26409
2008-10-27;02:36:00;2008-10-27;02:40:00;522.63466;0.50456;1.25500;1.25657
2008-10-27;06:13:00;2008-10-27;06:13:00;563.07740;0.53796;1.25403;1.25570
2008-10-27;17:55:00;2008-10-27;18:08:00;478.94622;0.45758;1.25380;1.25155
2008-10-28;01:34:00;2008-10-28;01:34:00;568.30151;0.53757;1.24204;1.24370
2008-10-28;02:04:00;2008-10-28;02:16:00;-1066.63793;-1.00896;1.23796;1.23317
2008-10-28;04:41:00;2008-10-28;04:47:00;531.00177;0.50741;1.24488;1.24333
2008-10-28;06:38:00;2008-10-28;07:05:00;91.71606;0.08720;1.25149;1.25102
2008-10-28;12:39:00;2008-10-28;13:12:00;-1070.00234;-1.01641;1.25466;1.25765
2008-10-29;02:06:00;2008-10-29;03:08:00;-70.48430;-0.06764;1.27323;1.27307
2008-10-29;07:07:00;2008-10-29;07:14:00;528.76603;0.50779;1.27387;1.27228
2008-10-29;07:49:00;2008-10-29;07:59:00;493.46959;0.47150;1.27796;1.27561
2008-10-29;11:49:00;2008-10-29;12:07:00;347.50446;0.33047;1.28312;1.28145
2008-10-30;01:21:00;2008-10-30;01:23:00;-1070.76328;-1.01493;1.30125;1.30435
2008-10-30;01:23:00;2008-10-30;01:51:00;-1053.76209;-1.00905;1.30431;1.30930
2008-10-30;02:15:00;2008-10-30;03:36:00;-1040.21925;-1.00624;1.31342;1.32150
2008-10-30;07:12:00;2008-10-30;07:20:00;462.74772;0.45218;1.31616;1.31764
2008-10-30;13:45:00;2008-10-30;14:18:00;101.80390;0.09903;1.30476;1.30512
2008-10-30;16:47:00;2008-10-30;17:01:00;392.34739;0.38129;1.28369;1.28681
2008-10-31;00:22:00;2008-10-31;00:41:00;271.60196;0.26294;1.28435;1.28521
2008-10-31;01:23:00;2008-10-31;01:24:00;-1054.01720;-1.01773;1.28224;1.27916
2008-10-31;01:24:00;2008-10-31;02:06:00;-60.43982;-0.05896;1.27920;1.27896
2008-10-31;03:49:00;2008-10-31;03:52:00;535.19874;0.52240;1.28716;1.28550
2008-10-31;07:21:00;2008-10-31;07:27:00;-1047.50774;-1.01714;1.27799;1.27493
2008-10-31;07:28:00;2008-10-31;07:53:00;-1027.86270;-1.00832;1.27472;1.26978
2008-10-31;10:36:00;2008-10-31;10:40:00;523.51911;0.51880;1.27694;1.27531
2008-11-03;01:30:00;2008-11-03;02:10:00;-5.20963;-0.00514;1.28242;1.28239
2008-11-03;13:42:00;2008-11-03;14:04:00;-1032.60352;-1.01806;1.27887;1.27580
2008-11-03;17:20:00;2008-11-03;18:02:00;55.04288;0.05483;1.26591;1.26623
2008-11-04;01:25:00;2008-11-04;01:39:00;425.53894;0.42363;1.25650;1.25782
2008-11-04;03:33:00;2008-11-04;03:36:00;494.43810;0.49014;1.25535;1.25688
2008-11-04;07:30:00;2008-11-04;07:48:00;352.27828;0.34751;1.26477;1.26368
2008-11-04;10:24:00;2008-11-04;11:06:00;-105.10047;-0.10332;1.27505;1.27551
2008-11-05;00:10:00;2008-11-05;00:28:00;-1032.48244;-1.01604;1.29482;1.29171
2008-11-05;04:12:00;2008-11-05;04:17:00;-1025.01440;-1.01904;1.28924;1.28614
2008-11-05;04:17:00;2008-11-05;04:26:00;472.38861;0.47447;1.28587;1.28828
2008-11-05;07:43:00;2008-11-05;07:43:00;543.87272;0.54075;1.28206;1.28377
2008-11-05;11:47:00;2008-11-05;11:50:00;-1021.99702;-1.01613;1.29107;1.29414
2008-11-05;11:50:00;2008-11-05;12:30:00;50.49318;0.05072;1.29445;1.29415
2008-11-05;17:41:00;2008-11-05;17:45:00;555.22187;0.55742;1.29616;1.29794
